FullName,DateOfBirth,Email,PhoneNumber,Gender,Address,Role
Tran Viet Bao,25/03/2006,bao@gmail.com,0528322006,Male,gasfdasdf,Member
Le Tran Quang Huy,25/03/2001,tra@gmail.com,0528322236,Male,lmaolmao,Host
Vu Tran Minh Hieu,20/06/2005,hung@gmail.com,1234567890,Male,lamolamo,Host
Hoang Duc Thinh,09/09/2006,giahung@gmail.com,0987654321,Male,tungtung,Member
Ta Binh Phong,21/06/2006,phong@gmail.com,1236543089,Male,tungsahur,Member
Doan Quoc Bao,20/01/2006,gay@gmail.com,1236544879,Male,tralalero,Member
Vo Thanh Minh,15/12/2004,minh@gmail.com,0912345678,Male,district1,Host
Le Thi Kim Anh,08/07/2005,kimanh@gmail.com,0923456789,Female,district2,Member
Pham Van Duc,30/04/2006,duc@gmail.com,0934567890,Male,district3,Member
Nguyen Thi Lan,12/11/2005,lan@gmail.com,0945678901,Female,district4,Host
Do Minh Quan,18/08/2006,quan@gmail.com,0956789012,Male,district5,Member
Tran Thi Hoa,22/02/2005,hoa@gmail.com,0967890123,Female,district6,Member
Le Van Tuan,14/05/2006,tuan@gmail.com,0978901234,Male,district7,Host
Pham Thi Mai,03/10/2005,mai@gmail.com,0989012345,Female,district8,Member
Nguyen Van Long,27/01/2006,long@gmail.com,0990123456,Male,district9,Member
